"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"173"	"105489379"	"2010-12-10 00:00:00.000"	67	"M"	"S"	"N"	0	"4300-271"	"PORTO"	"PORTO"
"174"	"105490075"	"2008-08-15 00:00:00.000"	57	"F"	"S"	"N"	0	"4430-195"	"PORTO"	"V.N.GAIA"
"175"	"105490148"	"2009-06-12 00:00:00.000"	45	"M"	"S"	"Y"	1	"4200-225"	"PORTO"	"PORTO"
"176"	"105496995"	"2014-04-30 00:00:00.000"	47	"F"	"M"	"Y"	3	"4700-411"	"BRAGA"	"BRAGA"
"177"	"105573388"	"2014-04-30 00:00:00.000"	60	"M"	"M"	"Y"	1	"4715-045"	"BRAGA"	"BRAGA"
"178"	"105788937"	"2013-09-30 00:00:00.000"	54	"M"	"M"	"Y"	1	"4820-122"	"BRAGA"	"FAFE"
"179"	"105802425"	"2012-11-09 00:00:00.000"	57	"M"	"S"	"N"	0	"4200-280"	"PORTO"	"PORTO"
"180"	"105826162"	"2007-11-29 00:00:00.000"	59	"M"	""	"Y"	1	"2780-769"	"OUTROS"	"Oeiras"
"181"	"105907383"	"2014-07-22 00:00:00.000"	77	"M"	"M"	"Y"	4	"4000-457"	"PORTO"	"PORTO"
"182"	"105910414"	"2013-10-07 00:00:00.000"	71	"F"	""	"N"	0	"4710-356"	"BRAGA"	"BRAGA"
"183"	"105973220"	"2013-09-30 00:00:00.000"	60	"M"	""	"Y"	1	"4500-656"	"OUTROS"	"ESPINHO"
"184"	"106011049"	"2014-02-25 00:00:00.000"	62	"M"	"S"	"N"	0	"4700-081"	"BRAGA"	"BRAGA"
"185"	"106046896"	"2013-09-30 00:00:00.000"	55	"M"	""	"Y"	5	"4700-210"	"BRAGA"	"BRAGA"
"186"	"106101854"	"2010-05-13 00:00:00.000"	69	"F"	"M"	"Y"	1	"4425-168"	"PORTO"	"MAIA"
"187"	"106106260"	"2011-06-17 00:00:00.000"	62	"F"	"S"	"N"	0	"4050-625"	"PORTO"	"PORTO"
"188"	"106118692"	"2011-11-09 00:00:00.000"	67	"M"	""	"Y"	1	"4000-486"	"PORTO"	"PORTO"
"189"	"106152564"	"2013-12-06 00:00:00.000"	63	"F"	"S"	"N"	0	"4715-016"	"BRAGA"	"BRAGA"
"190"	"106172271"	"2011-11-09 00:00:00.000"	49	"M"	"M"	"N"	0	"4100-161"	"PORTO"	"PORTO"
"191"	"106286889"	"2011-11-24 00:00:00.000"	64	"F"	""	"Y"	2	"5400-422"	"OUTROS"	"CHAVES"
"192"	"106300504"	"2009-10-23 00:00:00.000"	55	"M"	"M"	"Y"	1	"4430-429"	"PORTO"	"V.N.GAIA"
"193"	"106321560"	"2011-10-07 00:00:00.000"	53	"M"	"M"	"Y"	1	"4430-181"	"PORTO"	"V.N.GAIA"
"194"	"106415891"	"2010-09-14 00:00:00.000"	60	"M"	"M"	"N"	0	"4500-232"	"OUTROS"	"ESPINHO"
"195"	"106425021"	"2013-09-30 00:00:00.000"	62	"M"	"S"	"N"	0	"4700-356"	"BRAGA"	"BRAGA"
"196"	"106702823"	"2008-11-17 00:00:00.000"	67	"F"	"S"	"N"	0	"4445-371"	"PORTO"	"ERMESINDE"
"197"	"106719793"	"2013-01-31 00:00:00.000"	64	"F"	"S"	"N"	1	"4000-176"	"PORTO"	"PORTO"
"198"	"106783734"	"2014-04-01 00:00:00.000"	46	"F"	""	"N"	0	"4700-392"	"BRAGA"	"BRAGA"
"199"	"106877518"	"2009-07-31 00:00:00.000"	54	"M"	"M"	"Y"	1	"4400-191"	"PORTO"	"V.N.GAIA"
"200"	"106877631"	"2013-08-28 00:00:00.000"	62	"F"	"S"	"N"	0	"4400-117"	"PORTO"	"V.N.GAIA"
"201"	"107004887"	"2012-10-12 00:00:00.000"	65	"M"	""	"Y"	1	"4000-456"	"PORTO"	"PORTO"
"202"	"107050722"	"2009-07-31 00:00:00.000"	77	"M"	""	"Y"	1	"4250-071"	"PORTO"	"PORTO"
